,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity
46,2021Q3,1361964000000.0,1512884000000.0,32748.65106616268,77.4646074376113,38.6,42.00000000000001,32,89.0,64.0,56.0,26.911033695652172,31.738759782608696,7.9984,25.07674745717451,49.30933747269574,26.71926598470207,421421644754.4869,0.28666452745489895,1230237409584.5054,13.71742112482853,89.98628257887515,72.9,0.0013825271739323392,20916032.410074532
47,2021Q4,1397594000000.0,1735940000000.0,33605.380346442755,75.9079435107907,38.6,42.00000000000001,32,89.0,64.0,56.0,26.680642391304342,30.51671413043478,8.618266666666665,25.121691993962926,51.60364368059896,38.614566171641876,541673114044.5652,0.28099953755567225,1458806438173.0718,14.167812929848694,89.82118294360384,72.7,0.0012653481532416213,21965684.7313826
48,2022Q1,1132211000000.0,1091508000000.0,27502.678096450338,76.73862057011081,35.199999999999996,37.2,33,74.0,61.0,54.0,28.554487777777776,32.278843333333334,9.784933333333331,29.685710045185193,55.72265331448276,40.983382622940006,312373308531.0071,0.31250759660500876,1224500877661.5457,,,,0.0015077338355721883,16457035.43397728
49,2022Q2,856555000000.0,1030900000000.0,20806.683945753062,77.56929762943093,35.199999999999996,37.2,33,74.0,61.0,54.0,29.254899999999996,31.198413186813188,14.666666666666666,26.347676787273254,63.577808850806015,68.908245222621,326903937727.2913,0.29932800790599534,1674316320049.1155,,,,0.001035656072266157,10676578.448991813
50,2022Q3,926588000000.0,1461098000000.0,22507.86425148115,78.39997468875104,35.199999999999996,37.2,33,74.0,61.0,54.0,34.97866521739131,35.18434673913043,25.0,25.05835337533827,51.78985658259112,53.84475921532984,577330564993.0714,0.2830257400600268,2198175298476.9138,,,,0.0008177961043020835,11948802.524035657
51,2022Q4,967908000000.0,1655608000000.0,23511.573506156587,79.23065174807115,35.199999999999996,37.2,33,74.0,61.0,54.0,36.5686,37.25223369565217,25.0,23.040345299128777,57.13093296296471,66.40670376079362,652484105248.0194,0.2700094566231776,2516556740433.5312,,,,0.0006775604607488763,11217745.192995258
52,2023Q1,1000083000000.0,1388161000000.0,,80.06132880739126,35.0,38.4,36,,,,36.5686,39.22329777777777,25.0,25.454432158805783,55.58223680021281,58.314806423750554,490463898604.91583,0.25003205522447586,2102357071280.1362,,,,0.0008712576324350157,12094458.66298624
53,2023Q2,1022386000000.0,1483162000000.0,,80.89200586671137,35.0,38.4,36,,,,36.5686,39.820536263736265,25.0,26.227465374652265,53.65189032889302,48.22233849033349,564311119987.5586,0.24426466865440025,2242836705842.778,,,,0.000851171252039211,12624248.565169802
54,2023Q3,1030874000000.0,1807595000000.0,,81.7226829260315,35.0,38.4,36,,,,36.5686,39.83642282608695,22.5154,24.140036899858654,51.56213726420813,-22.079492364163432,765128899738.9594,0.24419966147725955,2826131558865.931,,,,0.0007043991048626045,12732682.999541195
55,2023Q4,1044847000000.0,1949043000000.0,,82.5533599853516,35.0,38.4,36,,,,36.59415,39.36276847826087,16.935466666666667,15.777553394152926,51.88570306196878,12.936913141475074,573627283885.4874,0.23568857359479267,3192479698044.55,,,,0.0006590442782587538,12845056.372302763
56,2024Q1,1053242000000.0,1629400000000.0,,83.71302032470706,35.6,38.0,35,,,,38.17270879120879,41.466826373626375,14.9086,26.68966043953337,53.42108673160229,56.240935313612376,672775710181.0812,0.2334286004963597,2821543748847.52,,,,0.0008086290363192514,13175801.51778588
57,2024Q2,1053458000000.0,1742535000000.0,,84.8726806640625,35.6,38.0,35,,,,39.847840659340655,42.90793296703297,13.683333333333332,1.2257840659692176,53.42108673160206,15.109498517963772,35331312089.95308,0.23231895086094653,3179214406148.15,,,,0.000757969668993379,13207886.771593776
58,2024Q3,1057260000000.0,2092353000000.0,,86.03234100341794,35.6,38.0,35,,,,41.141161956521735,45.16889239130435,13.0,5.2415686771266365,53.421086731602315,-1.8826746729638835,217044802768.09677,0.230267643504271,3833233750468.3633,,,,0.0005993406797049433,12540322.692026772
59,2024Q4,1053643000000.0,2194371000000.0,,87.1920013427734,35.6,38.0,35,,,,41.44930869565218,44.26375652173913,13.102166666666667,2.977395488061219,53.421086731602266,25.856448157581376,136070239753.03539,0.22484380792587394,4132238052323.323,,,,0.0006045516058402875,13266105.118593575
