n_causes,n_indicators,n_sig_causes,n_sig_inds,correct_g,correct_l,mean_abs_z,chi2,df,pvalue,cfi,tli,rmsea,aic,bic,score,causes,indicators
3,2,1,0,3,2,4.711011983486717,2.6677098830668413,2,0.26345967953984284,0.9895016258931936,0.9475081294659681,0.08710690160703538,562.341704585387,574.8310320228148,4.637767865015338,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|sdiff_deflated_M1
3,3,1,2,2,3,4.640388382177734,128.19059368744476,6,0.0,0.4327131880121353,-0.4182170299696617,0.6803257733666921,658.9261693804274,674.9838760856917,4.630705504884439,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,1,1,2,2,4.524933649034973,22.94289899856228,2,1.0423481094368192e-05,0.7810808635308467,-0.09459568234576635,0.48783961362319267,550.553160475121,563.0424879125488,4.619160031570163,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,3,1,2,2,3,4.42550220836987,130.66442780786628,6,0.0,0.4269114788079389,-0.4327213029801529,0.6871781004197262,659.2638998330843,675.3216065383486,4.609216887503653,d_tax_burden|d_unemployment_rate|d_government_effectiveness,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,1,1,1,2,2.3493176723510243,3.1092961428947348,2,0.21126371929456356,0.9610258319526134,0.8051291597630669,0.11227483238660464,597.9222136462633,610.4115410836912,4.601598433901769,d_tax_burden|d_direct_tax_share|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,1,2,2,3,4.297408292032353,111.50734267001081,6,0.0,0.4562335515645499,-0.3594161210886253,0.6321780012505912,663.6070325496804,679.6647392549447,4.596407495869902,dlog_gdp_per_capita|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,1,1,2,2,4.2819991471149015,105.77623366681775,2,0.0,0.4559434360653922,-1.7202828196730386,1.0859444656967843,538.306192131372,550.7955195687998,4.594866581378156,d_tax_burden|d_unemployment_rate|d_government_effectiveness,d_employment_rate|d_lfp_rate
3,2,1,1,1,2,2.2790782888482624,4.837151435901475,2,0.08904835715803883,0.912595718108226,0.5629785905411305,0.1795560002510446,595.6523154085976,608.1416428460254,4.594574495551493,d_tax_burden|d_direct_tax_share|d_government_effectiveness,dlog_deflated_tax_revenue|d_employment_rate
5,3,2,1,4,2,1.718225065956632,10.09416173520711,10,0.43227138409133614,0.9971115057017226,0.9919122159648232,0.01462887362897502,962.3356792407793,981.9617652138802,4.58848917326233,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate|sdiff_deflated_M1
3,2,1,1,2,2,4.209220526434113,102.15418130141376,2,0.0,0.4649969750113737,-1.6750151249431315,1.0668250543584803,538.2264231835101,550.7157506209379,4.5875887193100775,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|d_lfp_rate
5,2,1,1,2,2,0.833228989952749,3.307695197397287,4,0.5077139463769609,1.0,1.040260579142263,0.0,777.0161616155908,793.0738683208551,4.583322898995275,d_tax_burden|d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,sdiff_gdp_2|d_employment_rate
3,2,0,1,2,2,0.8199255633949223,1.8834484681553718,2,0.38995488186450034,1.0,1.8841863678649,0.0,624.4996198988887,636.9889473363165,4.581992556339492,dlog_gdp_per_capita|d_direct_tax_share|d_government_effectiveness,d_lfp_rate|sdiff_deflated_M1
5,2,2,1,2,1,1.7403170060568574,4.964297759427584,4,0.29098042493791054,0.9846059965421624,0.9191814818463525,0.07402002798028506,806.3085334054999,822.3662401107642,4.574031700605686,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,0,1,3,1,0.7314448051916718,0.2508720476599997,2,0.8821121967817112,1.0,1.1580484176481078,0.0,568.1909392193165,580.6802666567444,4.573144480519167,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,sdiff_deflated_M1|sdiff_gdp_2
3,2,1,1,2,2,3.999125085377493,105.96672729146039,2,0.0,0.5092048208321698,-1.4539758958391507,1.0869406988688501,517.4087594815231,529.898086918951,4.566579175204415,d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate
3,3,1,2,2,3,3.9734954032395358,113.02340418915472,6,0.0,0.5132121977353401,-0.21696950566164952,0.6367037635625197,639.297336591301,655.3550432965653,4.56401620699062,d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
